Date, Product_name, Producer, Price, Shipping, Rating, Number of Ratings
2020-02-05,GeForce RTX 2060 SUPER XC ULTRA GAMING 08G-P4-3163-KR 8GB GDDR6 Dual HDB Fans RGB LED Metal Backplate,EVGA,449,,Rating + 4",11
2020-02-05,GeForce RTX 2070 SUPER BLACK GAMING 08G-P4-3071-KR 8GB GDDR6,EVGA,509,,Rating + 4",51
2020-02-05,GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card Super Compact ZT-T16600K-10M,ZOTAC,202,,Rating + 5",2
2020-02-05,Radeon RX 5700 XT DirectX 12 RX 5700 XT CHALLENGER D 8G OC 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,ASRock,379,,Rating + 3",55
2020-02-05,RADEON RX 590 FATBOY Core Edition 8GB 1580MHz DDR5 3xDP HDMI DVI PCI Express 3.0 Graphics Card RX-590P8DLD6,XFX,199,,Rating + 5",6
2020-02-05,GeForce RTX 2060 SC Ultra GAMING 06G-P4-2067-KR 6GB GDDR6 Dual HDB Fans,EVGA,359,,Rating + 5",25
2020-02-05,ROG STRIX AMD Radeon RX 5700 XT Overclocked 8G GDDR6 HDMI DisplayPort Gaming Graphics Card (ROG-STRIX-RX5700XT-O8G-GAMING),ASUS,459,,Rating + 4",36
2020-02-05,GeForce GTX 1660 DirectX 12 GTX 1660 VENTUS XS 6G OC 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,209,,Rating + 5",19
2020-02-05,PULSE Radeon RX 570 4GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI) 100412P4GOCL,Sapphire,129,,Rating + 5",62
2020-02-05,ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,ASUS,1,119,,Rating + 4",11
2020-02-05,ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),ASUS,139,,Rating + 4",43
